"club_name","player_name","age","position","club_involved_name","fee","transfer_movement","transfer_period","fee_cleaned","league_name","year","season","country"
"Al-Hilal SFC","Bruno Agnello",22,"Attacking Midfield","Boavista","?","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Ittihad Club","Biscotte Mbala",22,"Centre-Forward","Yverdon Sport","loan transfer","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Ittihad Club","Naif Ahmed Taib Hazazi",19,"Centre-Forward","Ittihad C. U23","-","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Ittihad Club","Tcheco",31,"Central Midfield","Grêmio","End of loanDec 1, 2007","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Ittihad Club","Robert",26,"Centre-Forward","Monterrey","?","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Ittihad Club","Renan Teixeira",22,"Defensive Midfield","São Paulo","End of loanMar 1, 2008","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ahli SFC","Val Baiano",26,"Centre-Forward","SE Gama","free transfer","in","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ahli SFC","Caio",27,"Attacking Midfield","Coritiba FC","free transfer","in","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ahli SFC","Leandro Silva",28,"Centre-Back","Galo Maringá","loan transfer","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ahli SFC","Nunes",25,"Centre-Forward","Bragantino","free transfer","out","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ahli SFC","Rabi Al-Mousa",23,"Right-Back","Al-Taawoun","loan transfer","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ahli SFC","Khaled Badra",34,"Centre-Back","Esperance","End of loanJan 1, 2008","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Nassr FC","Abdelkarim Nafti",26,"Attacking Midfield","CS Sfaxien","Loan fee:€350k","in","Winter",0.35,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Shabab FC","Michael Eneramo",22,"Centre-Forward","Esperance","free transfer","out","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Shabab FC","Runa",24,"Centre-Back","Juv. Évora","?","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Ettifaq FC","Radu Negut",26,"Attacking Midfield","Forex Brasov","?","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Wehda FC","Hassan Mostafa",27,"Defensive Midfield","El Ahly","Loan fee:€250k","in","Winter",0.25,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Wehda FC","Pierre Njanka",32,"Right-Back","Club Africain","free transfer","in","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Hazem SC","Fábio",29,"Centre-Forward","Volta Redonda","free transfer","in","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Hazem SC","Fábio",29,"Centre-Forward","Volta Redonda","free transfer","out","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Watani","Yacine Hima",23,"Central Midfield","FC Aarau","free transfer","in","Winter",0,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Tai FC","Badr Al-Dakheel",22,"Centre-Back","Al-Mojzel","?","out","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Qadsiah FC","Hassan Al-Otaibi",30,"Goalkeeper","Al-Hilal","?","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Qadsiah FC","Talal Al-Shmaly",18,"Right Midfield","Kuwait SC","?","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Al-Qadsiah FC","Walter Minhoca",25,"Attacking Midfield","Cruzeiro","loan transfer","in","Winter",NA,"Saudi Professional League",2007,"2007/2008","Saudi Arabia"
"Ittihad Club","Nourdin Boukhari",28,"Attacking Midfield","Sparta R.","€1.45m","in","Summer",1.45,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Emad Meteb",25,"Centre-Forward","El Ahly","Loan fee:€800k","in","Summer",0.8,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Hicham Aboucherouane",27,"Left Winger","Esperance","€600k","in","Summer",0.6,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Ahmed Hadid",23,"Attacking Midfield","Al-Shamal SC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Abdulaziz Al-Sobyani",20,"Midfield","Unknown","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Marzouq Al-Otaibi",32,"Centre-Forward","Al-Nassr","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Luciano Leguizamón",26,"Centre-Forward","Arsenal Sarandí","loan transfer","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Omar Khudari",17,"Second Striker","Ittihad C. U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Alhassane Keita",25,"Centre-Forward","RCD Mallorca","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Abdulrahman Al-Qahtani",25,"Left Midfield","Al-Ettifaq","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Magno Alves",32,"Centre-Forward","Umm Salal SC","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Ahmad Al-Dokhi",31,"Right-Back","Qatar SC","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Biscotte Mbala",23,"Centre-Forward","Yverdon Sport","End of loanJun 30, 2008","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Emad Meteb",26,"Centre-Forward","El Ahly","End of loanMay 1, 2009","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Christian Wilhelmsson",28,"Right Winger","FC Nantes","€3.50m","in","Summer",3.5,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Ronald Raldes",27,"Centre-Back","Rosario Central","€1.10m","in","Summer",1.1,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Osama Hawsawi",24,"Centre-Back","Al-Wehda","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Hassan Al-Otaibi",30,"Goalkeeper","Al-Qadsiah FC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Nawaf Al-Abed",18,"Attacking Midfield","Al-Hilal U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Salman Al-Faraj",18,"Central Midfield","Al-Hilal U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Sultan Al-Beshi",18,"Right-Back","Al-Hilal U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Bader Al-Karashi",26,"Attack","Al-Ahli","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Lelo Mbele",21,"Centre-Forward","Esperance","loan transfer","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Marcelo Tavares",27,"Centre-Back","Al-Rayyan SC","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Fahed Al-Mofarij",30,"Centre-Back","Al-Ettifaq","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Khaled Shrahili",21,"Goalkeeper","Al-Raed","loan transfer","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Sultan Al-Bargan",25,"Defensive Midfield","Al-Ettifaq","loan transfer","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Nawaf Al-Temyat",32,"Attacking Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Marco Vanzini",32,"Defensive Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Baba Adamu",28,"Centre-Forward","Asante Kotoko","End of loanJun 30, 2008","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Hassan Al-Raheb",24,"Second Striker","Khaleej","€775k","in","Summer",0.775,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Harison",28,"Right Winger","Leiria","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Bader Al-Karashi",26,"Attack","Al-Hilal","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Adel Maïza",25,"Centre-Back","ES Sétif","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Karam Barnawi",21,"Right-Back","Al-Ansar","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Josimar Mosquera",26,"Centre-Back","Arsenal Sarandí","loan transfer","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Abdulrahim Jaizawi",19,"Left Winger","Al-Ahli U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Hussain Al-Absi",20,"Attack","Al-Ahli U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Taiseer Al-Jassam",24,"Central Midfield","Qatar SC","End of loanJun 30, 2009","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Hussein Abdulghani",31,"Left-Back","Xamax","€500k","out","Summer",0.5,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Caio",27,"Attacking Midfield","EC Bahia","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Saleh Al-Mohammadi",27,"Attacking Midfield","Abha","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Harison",28,"Right Winger","Al-Wehda","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Waleed Al-Gizani",27,"Centre-Forward","Al-Hazem","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Val Baiano",27,"Centre-Forward","Barueri","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Ali Al-Turki",19,"Right Midfield","Najran SC","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Ali Al-Abdali",29,"Right-Back","Al-Raed","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Taiseer Al-Jassam",24,"Central Midfield","Qatar SC","loan transfer","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Leandro Silva",28,"Centre-Back","Galo Maringá","End of loanJun 30, 2008","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Renato Abreu",30,"Attacking Midfield","Al-Nasr SC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Youssef Al-Salem",23,"Centre-Forward","Al-Qadsiah FC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Abdulmalek Al-Khaibri",22,"Defensive Midfield","Al-Qadsiah FC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Talal Al-Bloushi",22,"Defensive Midfield","Al-Sadd SC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Hussein Shae'an",19,"Goalkeeper","Unknown","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Juan Manuel Martínez",22,"Right Winger","Vélez Sarsfield","End of loanJun 30, 2008","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Razak Omotoyossi",22,"Centre-Forward","Helsingborgs IF","€2.20m","in","Summer",2.2,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Éder Gaúcho",30,"Centre-Back","Leiria","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Bader Al-Nakhli",20,"Centre-Back","Al-Qadsiah FC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Hassan Rabia",25,"Centre-Forward","Majees SC","loan transfer","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Marzouq Al-Otaibi",32,"Centre-Forward","Ittihad Club","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Porfírio",34,"Centre-Forward","Retired","-","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Abdelkarim Nafti",26,"Attacking Midfield","CS Sfaxien","End of loanJun 30, 2008","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Issam Mardassi",27,"Centre-Back","CS Sfaxien","End of loanJun 30, 2008","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Paulo Sérgio",27,"Defensive Midfield","Coimbra","Loan fee:€75k","in","Summer",0.075,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Abdulrahman Al-Qahtani",25,"Left Midfield","Ittihad Club","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Abdullah Al-Dawsari",18,"Right-Back","Unknown","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Mohamad Roubize",22,"Central Midfield","Difaâ El Jadida","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Mohanad Al Ibrahim",22,"Attack","Al-Karamah SC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Fahed Al-Mofarij",30,"Centre-Back","Al-Hilal","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Jamaan Al-Jamaan",26,"Centre-Back","Unknown","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Sultan Al-Bargan",25,"Defensive Midfield","Al-Hilal","loan transfer","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Mohannad Ibrahim",23,"Centre-Forward","Al-Karamah SC","loan transfer","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Abdullah Al-Saleh",20,"Goalkeeper","Al-Ettifaq U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Amir Akrout",25,"Centre-Forward","Stade Tunisien","Loan fee:€500k","in","Summer",0.5,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Harison",28,"Right Winger","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Omar Daoud",25,"Centre-Back","Al-Ahli","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Osama Hawsawi",24,"Centre-Back","Al-Hilal","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Pierre Njanka",33,"Right-Back","Persija Jakarta","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Harison",29,"Right Winger","Guarani","loan transfer","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Abdullah Sulaiman Zubromawi",34,"Centre-Back","Retired","-","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hazem SC","Waleed Al-Gizani",27,"Centre-Forward","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hazem SC","Kodjo Afanou",30,"Centre-Back","Without Club","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hazem SC","Godwin Attram",27,"Centre-Forward","Al-Shaab","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hazem SC","Said Al-Shoon",24,"Defence","Kazma SC","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Najran SC","Ali Al-Turki",19,"Right Midfield","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Najran SC","Abdelfattah Safi",27,"Midfield","Entente SSG","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Najran SC","Abdulaziz Al-Hamsal",21,"Right Midfield","Najran SC U23","-","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Najran SC","Wilsinho",25,"Left Winger","Al-Wakrah SC","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Najran SC","Bamba Drissa",23,"Defensive Midfield","Olympique Beja","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Ali Al-Abdali",29,"Right-Back","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Raed Al-Amri",19,"Left-Back","Al-Watani","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Saleh Abdulhameed",25,"Centre-Back","Al-Nasr SC","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Tarik Miri",30,"Defence","O. Khouribga","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Khaled Shrahili",21,"Goalkeeper","Al-Hilal","loan transfer","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Tarik Miri",31,"Defence","Kawkab Marrak.","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Abha Club","Saleh Al-Mohammadi",27,"Attacking Midfield","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Abha Club","Khalid Zouine",27,"Midfield","Ittihad Tanger","?","in","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Yacine Hima",24,"Central Midfield","AC Bellinzona","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Sylvain Idangar",24,"Left Winger","ES Sétif","free transfer","out","Summer",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Raed Al-Amri",19,"Left-Back","Al-Raed","?","out","Summer",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Renato Cajá",24,"Attacking Midfield","Ponte Preta","€2.60m","in","Winter",2.6,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Naif Al-Balawi",22,"Centre-Forward","Al-Watani","?","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Ittihad Club","Nourdin Boukhari",28,"Attacking Midfield","NAC Breda","free transfer","out","Winter",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Mirel Radoi",27,"Defensive Midfield","Steaua Bucharest","€6.00m","in","Winter",6,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Ki-hyeon Seol",29,"Right Winger","Fulham","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Lelo Mbele",21,"Centre-Forward","Esperance","End of loanDec 1, 2008","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Lelo Mbele",21,"Centre-Forward","Al-Hilal","€750k","out","Winter",0.75,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Khaled Al-Anqari",NA,"Defence","Unknown","free transfer","out","Winter",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Ronald Raldes",27,"Centre-Back","Without Club","-","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Walid Soliman",24,"Right Winger","Petrojet","Loan fee:€400k","in","Winter",0.4,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Ibrahima Gueyé",30,"Centre-Back","Red Star","€200k","in","Winter",0.2,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Baha'a Abdulrahman",22,"Defensive Midfield","Al-Faisaly SC","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Youcef Saïbi",26,"Centre-Forward","USM El Harrach","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ahli SFC","Adel Maïza",25,"Centre-Back","USM Annaba","?","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Shabab FC","Ahmad Al-Azemi",24,"Centre-Forward","Qadsia SC","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Hossam Ghaly",27,"Central Midfield","Tottenham","free transfer","in","Winter",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Mehdi Shiri",30,"Central Midfield","Bargh Shiraz FC","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Nassr FC","Razak Omotoyossi",23,"Centre-Forward","Without Club","-","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Ettifaq FC","Yaqoub Al-Taher",25,"Right-Back","Kuwait SC","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Mejdi Traoui",25,"Central Midfield","RB Salzburg","Loan fee:€400k","in","Winter",0.4,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Raja Rafe",25,"Centre-Forward","Al-Majd","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Wehda FC","Omar Daoud",25,"Centre-Back","Al-Ahli","?","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hazem SC","Karim Eddafi",25,"Left Midfield","Kénitra","?","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Leandro Sena",32,"Central Midfield","Vila Aurora","free transfer","in","Winter",0,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Felipe",27,"Attacking Midfield","North Qld Fury","?","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Raed SFC","Saleh Abdulhameed",26,"Centre-Back","Al-Najma","?","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Basem Fat'hi",26,"Left-Back","Al-Wehdat SC","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Makhete Diop",21,"Centre-Forward","ASC Yakaar","?","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Josimar",22,"Defensive Midfield","Internacional","loan transfer","in","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Naif Al-Balawi",22,"Centre-Forward","Ittihad Club","?","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Josimar",22,"Defensive Midfield","Internacional","End of loanApr 30, 2009","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Watani","Basem Fat'hi",26,"Left-Back","Al-Wehdat SC","End of loanFeb 20, 2009","out","Winter",NA,"Saudi Professional League",2008,"2008/2009","Saudi Arabia"
"Al-Hilal SFC","Thiago Neves",24,"Attacking Midfield","Hamburger SV","€7.00m","in","Summer",7,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Young-pyo Lee",32,"Left-Back","Bor. Dortmund","free transfer","in","Summer",0,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Essa Al-Mehyani",26,"Centre-Forward","Al-Wehda","?","in","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Abdullah Al-Dawsari",19,"Right-Back","Al-Ettifaq","?","in","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Khaled Shrahili",22,"Goalkeeper","Al-Raed","End of loanJun 30, 2009","in","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Sultan Al-Bargan",26,"Defensive Midfield","Al-Ettifaq","End of loanJun 30, 2009","in","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Tareq Al Tayeb",32,"Attacking Midfield","Al-Shabab","?","out","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Abdulaziz Al-Khathran",35,"Defensive Midfield","Al-Wehda","?","out","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Boris Kabi",24,"Centre-Forward","Ajman Club","?","out","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Fahad Al-Shammari",28,"Goalkeeper","Al-Qadsiah FC","loan transfer","out","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
"Al-Hilal SFC","Mohammed Al-Gizani",19,"Right-Back","Al-Nassr","-","out","Summer",NA,"Saudi Professional League",2009,"2009/2010","Saudi Arabia"
